484349	2323922
484435	2323912
484554	2323920
484699	2323938
484858	2323964
484984	2323961
484859	2323911
484954	2323909
484859	2323883
484958	2323834
485169	2323956
485154	2323897
485076	2323836
485135	2323831
485209	2323955
485332	2323952
485346	2323793
485189	2323819
485254	2323769
485279	2323802
485173	2323708
485352	2323724
485135	2323594
485124	2323560
485020	2323492
485043	2323263
485272	2323280
485262	2323373
485250	2323477
485165	2323481
485391	2323289
485383	2323386
485378	2323442
485339	2323442
485285	2323475
485370	2323537
485250	2323566
484725	2323274
484656	2323279
484299	2323309
484470	2323294
484304	2323367
484440	2323356
484442	2323428
484476	2323354
484510	2323397
484321	2323577
484568	2323377
484462	2323495
484385	2323579
484725	2323379
484724	2323499
484651	2323479
484591	2323435
484525	2323479
484723	2323559
484604	2323592
484472	2323625
484328	2323665
484645	2323658
484707	2323660
484490	2323683
484556	2323667
484331	2323704
484454	2323746
484573	2323787
484698	2323830
484556	2323845
484734	2323192
484875	2323267
484527	2323420
484341	2323822
484444	2323834
484782	2323952
485076	2323958
485281	2323870
485271	2323717
485360	2323632
485164	2323273
485030	2323383
484697	2323739
484313	2323470

